Open Price,High Price,Low Price,Volume,Close Time
4175.00000000,4223.98000000,4165.00000000,11.96713000,1507139999999
4198.00000000,4220.00000000,4165.02000000,9.80096700,1507141799999
4177.26000000,4199.90000000,4153.02000000,14.80611600,1507143599999
4163.03000000,4173.12000000,4157.00000000,14.66722300,1507145399999
4164.00000000,4173.12000000,4156.00000000,18.26192000,1507147199999
4170.05000000,4173.11000000,4156.01000000,11.44144400,1507148999999
4156.07000000,4173.09000000,4156.00000000,17.69678900,1507150799999
4165.00000000,4215.89000000,4158.08000000,29.22412400,1507152599999
4181.40000000,4214.89000000,4181.40000000,8.02822400,1507154399999
4187.56000000,4213.68000000,4185.63000000,10.47630600,1507156199999
4199.68000000,4220.00000000,4185.73000000,13.42021300,1507157999999
4215.00000000,4236.63000000,4193.07000000,7.09673100,1507159799999
4197.01000000,4219.94000000,4197.01000000,10.57680300,1507161599999
4208.59000000,4235.00000000,4208.59000000,10.63743800,1507163399999
4234.78000000,4234.79000000,4197.04000000,9.24421900,1507165199999
4234.00000000,4234.77000000,4205.12000000,7.11699900,1507166999999
4221.00000000,4233.99000000,4211.01000000,8.03071700,1507168799999
4218.00000000,4234.75000000,4206.55000000,5.21976800,1507170599999
4230.00000000,4234.77000000,4209.00000000,20.98707900,1507172399999
4220.00000000,4230.00000000,4155.00000000,23.15924700,1507174199999
4158.09000000,4162.00000000,4142.00000000,20.16327900,1507175999999
4143.06000000,4161.00000000,4137.17000000,23.12736300,1507177799999
4137.16000000,4159.99000000,4120.00000000,29.31311200,1507179599999
4155.00000000,4159.99000000,4121.22000000,18.37292200,1507181399999
4135.00000000,4159.96000000,4122.02000000,16.69662500,1507183199999
4122.05000000,4141.00000000,4110.00000000,42.18336600,1507184999999
4140.00000000,4152.00000000,4111.01000000,17.49223600,1507186799999
4137.11000000,4164.98000000,4135.04000000,25.75755900,1507188599999
4164.94000000,4174.49000000,4140.10000000,18.15526400,1507190399999
4154.10000000,4158.98000000,4135.01000000,12.11559500,1507192199999
4155.00000000,4156.50000000,4112.23000000,17.68044600,1507193999999
4114.23000000,4195.00000000,4114.23000000,14.10711500,1507195799999
4150.00000000,4202.99000000,4150.00000000,35.48206900,1507197599999
4182.06000000,4234.77000000,4182.06000000,23.22401700,1507199399999
4222.01000000,4234.77000000,4222.00000000,28.28057100,1507201199999
4234.77000000,4234.77000000,4225.00000000,17.14451100,1507202999999
4227.01000000,4234.77000000,4226.05000000,13.81134300,1507204799999
4226.05000000,4331.00000000,4226.05000000,37.93437500,1507206599999
4305.98000000,4334.40000000,4245.37000000,23.10820600,1507208399999
4309.14000000,4312.28000000,4268.00000000,15.07731800,1507210199999
4297.99000000,4312.26000000,4268.22000000,16.05355600,1507211999999
4311.13000000,4329.00000000,4308.98000000,9.58457600,1507213799999
4320.00000000,4326.95000000,4275.00000000,16.09687100,1507215599999
4275.06000000,4295.00000000,4275.06000000,6.88806600,1507217399999
4289.99000000,4335.00000000,4267.92000000,31.52722200,1507219199999
4288.00000000,4331.86000000,4288.00000000,14.78758300,1507220999999
4311.03000000,4330.84000000,4280.06000000,10.62803300,1507222799999
4310.99000000,4330.00000000,4290.60000000,15.08131100,1507224599999
4315.02000000,4328.87000000,4275.00000000,25.55088600,1507226399999
4300.00000000,4328.88000000,4281.21000000,14.79692000,1507228199999
4320.00000000,4330.00000000,4300.01000000,6.80196500,1507229999999
4318.06000000,4333.99000000,4306.09000000,7.30818900,1507231799999
4330.20000000,4340.00000000,4325.00000000,7.17639700,1507233599999
4345.00000000,4345.00000000,4307.11000000,7.50182200,1507235399999
4335.89000000,4355.00000000,4313.40000000,15.57030100,1507237199999
4333.59000000,4354.85000000,4321.07000000,6.71703200,1507238999999
4322.04000000,4344.39000000,4322.04000000,5.01928600,1507240799999
4325.01000000,4339.99000000,4313.24000000,8.47605900,1507242599999
4325.03000000,4344.00000000,4313.23000000,3.18215900,1507244399999
4344.00000000,4350.00000000,4313.24000000,6.66273400,1507246199999
4322.03000000,4330.00000000,4292.43000000,10.10491100,1507247999999
4318.99000000,4348.00000000,4292.00000000,16.27043200,1507249799999
4321.97000000,4321.97000000,4292.00000000,8.63424600,1507251599999
4316.92000000,4316.99000000,4307.00000000,5.00470400,1507253399999
4316.99000000,4316.99000000,4292.15000000,6.62684200,1507255199999
4299.04000000,4344.99000000,4299.04000000,14.14903600,1507256999999
4325.08000000,4333.00000000,4296.01000000,9.23284900,1507258799999
4296.02000000,4319.99000000,4296.00000000,2.83131200,1507260599999
4300.00000000,4318.49000000,4300.00000000,6.53847400,1507262399999
4316.98000000,4329.99000000,4300.02000000,5.96745600,1507264199999
4317.48000000,4330.60000000,4301.00000000,13.99079000,1507265999999
4323.00000000,4330.60000000,4315.00000000,1.91143900,1507267799999
4322.50000000,4377.03000000,4322.00000000,22.17402200,1507269599999
4374.52000000,4377.03000000,4358.00000000,14.52516100,1507271399999
4373.00000000,4400.00000000,4363.11000000,21.04191400,1507273199999
4400.00000000,4410.00000000,4399.99000000,27.51842400,1507274999999
4404.19000000,4404.19000000,4370.38000000,11.08086200,1507276799999
4396.00000000,4409.99000000,4370.45000000,9.92315200,1507278599999
4380.17000000,4400.00000000,4380.17000000,4.15073000,1507280399999
4389.62000000,4404.98000000,4380.01000000,6.64823900,1507282199999
4403.82000000,4403.82000000,4380.02000000,2.23441100,1507283999999
4399.73000000,4417.00000000,4391.20000000,20.15891300,1507285799999
4410.00000000,4417.00000000,4400.04000000,11.52096300,1507287599999
4404.05000000,4416.98000000,4400.03000000,19.50994300,1507289399999
4403.63000000,4405.00000000,4386.10000000,11.15407000,1507291199999
4391.11000000,4416.78000000,4382.02000000,6.78132600,1507292999999
4416.78000000,4416.78000000,4405.88000000,19.31471500,1507294799999
4409.94000000,4414.99000000,4364.00000000,28.77708600,1507296599999
4366.15000000,4370.00000000,4312.57000000,29.85102400,1507298399999
4340.01000000,4371.55000000,4330.22000000,20.95294600,1507300199999
4371.55000000,4395.00000000,4371.55000000,9.61093800,1507301999999
4380.00000000,4411.09000000,4380.00000000,12.02451200,1507303799999
4401.95000000,4405.92000000,4380.01000000,5.30036600,1507305599999
4382.07000000,4397.00000000,4371.56000000,7.97621400,1507307399999
4371.99000000,4396.99000000,4371.61000000,5.71312600,1507309199999
4381.45000000,4386.00000000,4372.01000000,6.27262400,1507310999999
4384.99000000,4400.00000000,4336.01000000,24.49517400,1507312799999
4377.91000000,4377.91000000,4322.01000000,11.34101700,1507314599999
4359.99000000,4359.99000000,4320.01000000,7.81834900,1507316399999
4320.02000000,4340.00000000,4315.95000000,5.09363800,1507318199999
4322.97000000,4379.73000000,4315.95000000,4.98627100,1507319999999
4331.02000000,4360.00000000,4331.02000000,4.18670400,1507321799999
4351.05000000,4351.05000000,4330.07000000,0.28464100,1507323599999
4350.71000000,4358.00000000,4341.96000000,2.84321500,1507325399999
